Vaga,Empresa,Avaliação,Local,Data,Descrição,Link
Desenvolvedor Back End (experiencia com Automação ),Vikservices,"3,9","Rio de Janeiro, RJ",PostedAnunciada há 4 dia,Desenvolvedor Back End (experiencia com Automação ) Presencial Vikservices Rio de Janeiro-RJ A combinar 1 vaga | publicada hoje Informações da Vaga…,br.indeed.com/rc/clk?jk=b321edb8b006aa3c&fccid=a41b77f160a8ddd7&vjs=3
Analista de Tráfego Pago,Beep Saúde,"3,3","Rio de Janeiro, RJ",PostedAnunciada há 15 dia,"O time de Growth tem a missão de buscar ideias diferentes todos os dias com muita energia. A tentativa e erro são constantes, e por isso precisamos ter…",br.indeed.com/rc/clk?jk=e703c4c78cb6341b&fccid=5f1a5dcf8d0dd3b8&vjs=3
Analista de Sistemas Java - Pleno,Innolevels,"3,9","Rio de Janeiro, RJ",PostedRecém publicada,Analista de Sistemas Java - Pleno Presencial Innolevels Rio de Janeiro-RJ A combinar 1 vaga | publicada hoje Informações da Vaga Descrição Estamos…,br.indeed.com/rc/clk?jk=49b7a26b232dec40&fccid=a41b77f160a8ddd7&vjs=3
[Logística] Analista de Logística Sênior,Beep Saúde,"3,3","Rio de Janeiro, RJ",PostedAnunciada há mais de 30 dias,"Vista como um dos pilares mais importantes do nosso negócio, a Logística da Beep tem como principal missão encantar o cliente através da disponibilidade e…",br.indeed.com/rc/clk?jk=95b7effc75fad4eb&fccid=5f1a5dcf8d0dd3b8&vjs=3
Infrasec Analyst,VTEX,"3,5","Rio de Janeiro, RJ",PostedAnunciada há 5 dia,"About the role We are seeking talented Infrasec Analyst. Some of our tools are Antivirus Tools, CASB and Proxy tools, DLP(data loss prevention), EDR(Endpoint…",br.indeed.com/rc/clk?jk=1c57944caa463b0f&fccid=bdb8f222aa18691a&vjs=3
Analista de TI/Dados - Temporário,Grupo SERES,"4,3","Rio de Janeiro, RJ",PostedAnunciada há mais de 30 dias,"Nível: Analista Cursos de: Bacharelado Ciências da Computação,Análise de sistemas de informação,Curso superior em Redes de Computadores,Bacharelado em…",br.indeed.com/rc/clk?jk=7d215e400951c9cf&fccid=2e28e3a798bbd4cf&vjs=3
Cód 5013 - Analista de Dados BI Pleno,Quality,"2,9","Rio de Janeiro, RJ",PostedAnunciada há 19 dia,"Somos uma empresa brasileira com mais de 30 anos no mercado de Tecnologia da Informação. Especializados em soluções de Digital, com desenvolvimento de canais…",br.indeed.com/rc/clk?jk=8d387270ba2356ad&fccid=a7eb495d2eeed35e&vjs=3
Especialista de Analytics com foco em CRM,Natural da Terra,"4,1","Rio de Janeiro, RJ",PostedAnunciada há 21 dia,Responsável por report dos resultados das ações e promoções de CRM e indicadores de clientes para apoiar a CIA na tomada de decisão.,br.indeed.com/rc/clk?jk=371848f6dcc103d2&fccid=59afd95f785c50ca&vjs=3
"Estágio em Engenharia de Petróleo na área Comercial - Rio de Janeiro, RJ",Baker Hughes,"4,0","Rio de Janeiro, RJ",PostedAnunciada há 15 dia,"O estagiário(a) vai estar atuando na área comercial, desenvolvendo estratégias junto ao gerente da linha de produto e organizando um PoweBI para diferentes…",br.indeed.com/rc/clk?jk=7b0e3c63d5cca665&fccid=f4c6ba597fc7aa75&vjs=3
Gen Brazil - Developer Front-end (Landmark),Halliburton,"3,9",Estado do Rio de Janeiro,PostedAnunciada há 7 dia,We are seeking passionate and curious software developers with front-end web development experience in Angular and familiarity with cloud technologies.,br.indeed.com/rc/clk?jk=9e7617589731b8ba&fccid=0e4554ac6dcff427&vjs=3
